item_desc,category_desc,sub_category_desc,item_number,skin_concern_cat_id,skin_concern_cat_name
เซรั่มโอเลย์โททัลเอฟเฟ็คส์แอดวานซ์รีแพร์(พ6) 7กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1138,2,Anti-Aging
เจลครีมศรีจันทร์สกินมอยส์เจอร์เบิร์ส (พ6) 10 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อความชุ่มชื่น,1139,0,Not Used
ซุปเปอร์เซรั่มนีเวียแอคเน่แคร์ (พ6) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดความมันและป้องกันสิว,1140,3,Acne & Oily
บูสเตอร์เซรั่มคิวท์เพรสไบรท์เทนนิ่ง (พ6) 8 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1141,1,Whitening
บูสเตอร์เซรั่มคิวท์เพรสเอทอาวเวอร์ฟูลไนท์ (พ6) 8มล,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อความชุ่มชื่น,1142,0,Not Used
เซรั่มกันแดดนีเวียซันออยล์คอนโทรลเฟซฯ (พ6) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ป้องกันแสงแดด,1143,0,Not Used
เซรั่มครีมโอเลย์โททัลเอฟเฟ็คส์พอร์เลส (พ6) 7 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1144,2,Anti-Aging
pเจลแต้มสิวเค.เอ.รอยัลเจลลี่แอนตี้แอคเน่(ด) 4 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,ลดความมันและป้องกันสิว,1145,3,Acne & Oily
pเจลแต้มสิวเค.เอ.รอยัลเจลลี่แอนตี้แอคเน่(พ6) 4กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,ลดความมันและป้องกันสิว,1146,3,Acne & Oily
บูสเตอร์เซรั่มยูร่าเอ้กโยล์คไวท์เทนนิ่ง (ด) 7 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1147,1,Whitening
บูสเตอร์เซรั่มยูร่าเอ้กโยล์คไวท์เทนนิ่ง (พ6) 7กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1148,1,Whitening
pเซรั่มกันแดดนีเวียซันซีแอนด์อีSPF50 PA+++ 15 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ป้องกันแสงแดด,1149,0,Not Used
เซรั่มศรีจันทร์ซุปเปอร์ซีไบร์ทเทนนิ่งฯ (ด) 10 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1150,1,Whitening
เซรั่มศรีจันทร์ซุปเปอร์ซีไบร์ทเทนนิ่งฯ (พ6) 10 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1151,1,Whitening
เจลกันแดดบิโอเรยูวีอะควาริชโบทานิคอลพีโอนี(ด) 7 มล,ผลิตภัณฑ์บำรุงผิวหน้า,ป้องกันแสงแดด,1152,0,Not Used
เจลกันแดดบิโอเรยูวีอะควาริชโบทานิคอลพีโอนี(พ6) 7มล,ผลิตภัณฑ์บำรุงผิวหน้า,ป้องกันแสงแดด,1153,0,Not Used
pเซรั่มมาส์กการ์นิเย่ซากุระโกลว์ไฮยาลูรอน(พ10)28 ก,ผลิตภัณฑ์บำรุงผิวหน้า,มาส์กหน้า,1154,0,Not Used
pเซรั่มมาส์กการ์นิเย่ไบรท์คอมพลีทวิตามินซี(พ10)28ก,ผลิตภัณฑ์บำรุงผิวหน้า,มาส์กหน้า,1155,0,Not Used
pโลชั่นโอเลย์ไวท์เรเดียนซ์ยูวี 30 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1156,1,Whitening
pมาส์กฮาดะลาโบะไฮเดรทติ้ง(พ6)20 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,มาส์กหน้า,1157,0,Not Used
pอายเซรั่มมาส์กการ์นิเย่ไบร์ทเทนนิ่ง(ส้ม)(พ10) 6ก.,ผลิตภัณฑ์บำรุงผิวหน้า,มาส์กหน้า,1158,0,Not Used
แผ่นมาส์กหน้าเคที่ดอลสวีทตี้อโลเวร่าเขียว(พ10)25ก,ผลิตภัณฑ์บำรุงผิวหน้า,มาส์กหน้า,1159,0,Not Used
แผ่นมาส์กหน้าเคที่ดอลล์สวีทตี้โทเมโทชมพู(พ10) 25ก.,ผลิตภัณฑ์บำรุงผิวหน้า,มาส์กหน้า,1160,0,Not Used
pแผ่นมาส์กหน้าโรจูคิสไวท์พอร์เลส (ชมพู)(พ6) 15 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,มาส์กหน้า,1161,0,Not Used
pแผ่นมาส์กหน้าโรจูคิสเพอร์เฟคพอร์เลส(ทอง)(พ6)15มล.,ผลิตภัณฑ์บำรุงผิวหน้า,มาส์กหน้า,1162,0,Not Used
