item_desc,category_desc,sub_category_desc,item_number,skin_concern_cat_id,skin_concern_cat_name
พิชา ไวท์ เซรั่ม,เวชสำอางค์,ผิวขาว,1,1,Whitening
โปรสกิน 12 แคปซูล,เวชสำอางค์,ลดเลือนริ้วรอย,2,2,Anti-Aging
โปรวาเมด กลูต้า ไบร์ท คลีนซิ่ง เจล,เวชสำอางค์,รอบดวงตา,3,4,Eye Care
ยูเซอริน ไวท์ เธอราพี คลีนซิ่ง เจล,เวชสำอางค์,ผิวขาว,4,1,Whitening
ยูเซอริน ไวท์ เธอราพี คลีนซิ่ง โฟม 150 กรัม,เวชสำอางค์,ผิวขาว,5,1,Whitening
โปรวาเมด ซัน เอสพีเอฟ 50 (สีขาว) 15ก.,เวชสำอางค์,กันแดด,6,0,Not Used
เทริสเดย์ แพลนเทชั่น ที ทรี เดลี่ เฟช คลีนเซอร์,เวชสำอางค์,ลดเลือนรอยแผลเป็น,7,0,Not Used
ฮาดะลาโบะ อาร์บูดิน ไวท์เทนนิ่ง เฟสวอช,เวชสำอางค์,ผิวขาว,8,1,Whitening
ฟาร์มาเพียว แอคเน่ คอนโทรล คลีนเซอร์,เวชสำอางค์,ลดเลือนรอยแผลเป็น,9,0,Not Used
บิเฟสต้าคลีนซิ่งลิควิด,เวชสำอางค์,รอบดวงตา,10,4,Eye Care
เทริสเดย์ แพลนเทชั่น ที ทรี แอนเน่ เจล,เวชสำอางค์,ลดเลือนรอยแผลเป็น,11,0,Not Used
บิเฟสต้าคลีนซิ่งไบรทอัพ,เวชสำอางค์,รอบดวงตา,12,4,Eye Care
ฮีรูสการ์ เจล 7 กรัม,เวชสำอางค์,ลดเลือนรอยแผลเป็น,13,0,Not Used
บิเฟสต้าอายรีมูฟเวอร์,เวชสำอางค์,รอบดวงตา,14,4,Eye Care
บิเฟสต้าคลีนซิ่งมอยส์,เวชสำอางค์,รอบดวงตา,15,4,Eye Care
ฮาดะลาโบะ อาร์บูติน โลชั่น,เวชสำอางค์,ผิวขาว,16,1,Whitening
ยูเซอรินเดอร์มาโทคลีนแคริฟายอิ่งโทนเนอร์,เวชสำอางค์,รอบดวงตา,17,4,Eye Care
โปรวาเมด กลูต้าไบโอเซรั่ม,เวชสำอางค์,ผิวขาว,18,1,Whitening
เมดเมเกอร์ ปิโตรเลี่ยม เจลลี่ เบบี้ 50 กรัม(MD),เวชสำอางค์,ผิวแพ้ง่าย,19,5,Sensitive Skin
ครีมหน้าขาวยันฮี,เวชสำอางค์,ผิวขาว,20,1,Whitening
โปรวาเมด กลูต้าไบโอเซรั่ม 10 ML.,เวชสำอางค์,ผิวขาว,21,1,Whitening
โปรวาเมด ซัน เอสพีเอฟ 50+ 15 มล.,เวชสำอางค์,กันแดด,22,0,Not Used
ยูเซอรีน ไวท์ คลีน เจล,เวชสำอางค์,รอบดวงตา,23,4,Eye Care
อ๊อกซีเคียว โฟม สครับ,เวชสำอางค์,รอบดวงตา,24,4,Eye Care
ยูเซอรีน ไวท์ คลีน โฟม,เวชสำอางค์,รอบดวงตา,25,4,Eye Care
พริมโรสอีครีม 20 กรัม,เวชสำอางค์,ลดเลือนริ้วรอย,26,2,Anti-Aging
โปรวาเมดไวท์เทนนิ่ง เฟเชียลโฟม,เวชสำอางค์,รอบดวงตา,27,4,Eye Care
ยูเซอรินเดอร์โมเพียวริฟายเออร์ Starter kit,เวชสำอางค์,ลดเลือนรอยแผลเป็น,28,0,Not Used
ยูเซอรินเดอร์โมเพียวแอคทีฟซีรั่ม,เวชสำอางค์,ลดเลือนรอยแผลเป็น,29,0,Not Used
ครีมแต้มสิวยันฮี,เวชสำอางค์,ลดเลือนรอยแผลเป็น,30,0,Not Used
ยูเซอริน พีเอช5 อัลเลอร์จี้เซ็ท,เวชสำอางค์,กันแดด,31,0,Not Used
ยูเซอรินซันฟลูอิดแมททิฟายอิ้งSPF50+ 50 มล.,เวชสำอางค์,กันแดด,32,0,Not Used
แผ่นซับสิว3เอ็มเน็กซ์แคร์รุ่นรูปดาวและหัวใจ,เวชสำอางค์,สิว,33,3,Acne & Oily
พรีเมดิกา คอลลาเจนไวท์ เฟเชียล โฟม,เวชสำอางค์,รอบดวงตา,34,4,Eye Care
พรีเมดิกา คอลลาเจน โกลว บูสติ้งวอเทอร์,เวชสำอางค์,ผิวขาว,35,1,Whitening
ลิปส์แคร์ตราเภสัชกร 2 กรัม,เวชสำอางค์,ผิวแพ้ง่าย,36,5,Sensitive Skin
แผ่นซับสิว3เอ็มเน็กซ์แคร์ รุ่นมาตรฐาน 18 ชิ้น,เวชสำอางค์,สิว,37,3,Acne & Oily
ฮีรูสการ์ โพสต์แอคเน่ 5 กรัม,เวชสำอางค์,สิว,38,3,Acne & Oily
โปรวาเมดกลูต้าบูสเตอ200มล.,เวชสำอางค์,ผิวขาว,39,1,Whitening
ลอเรนซ์ รีนีวอล ไอ-พลัส,เวชสำอางค์,ผิวขาว,40,1,Whitening
สการ์เอสทิค 4 กรัม,เวชสำอางค์,ลดเลือนรอยแผลเป็น,41,0,Not Used
อ๊อกซีเคียว บอดี้แอคเน่สเปรย์,เวชสำอางค์,ลดเลือนรอยแผลเป็น,42,0,Not Used
ซีเบลสการ์ เจล 9 กรัม,เวชสำอางค์,ลดเลือนรอยแผลเป็น,43,0,Not Used
ยูเซอรินเดอร์มาโทคลีนรีเฟรชชิ่งคลีนซิ่งเจล,เวชสำอางค์,ผิวแพ้ง่าย,44,5,Sensitive Skin
ยูเซอรินเดอร์มาโทคลีนมายด์คลีนซิ่งมิลค์,เวชสำอางค์,ผิวแพ้ง่าย,45,5,Sensitive Skin
ไวท์เทลล่า ซีซีไวท์,เวชสำอางค์,ผิวขาว,46,1,Whitening
ลอเรนซ์เดย์สเตรท เดย์ครีม,เวชสำอางค์,ลดเลือนริ้วรอย,47,2,Anti-Aging
คลินดา เนเชอรัล สการ์เจล 10 กรัม,เวชสำอางค์,ลดเลือนรอยแผลเป็น,48,0,Not Used
ฟิสิโอเจล ครีม 75 มล.,เวชสำอางค์,กันแดด,49,0,Not Used
ไวทาร่า อี ครีม 25 กรัม,เวชสำอางค์,ลดเลือนริ้วรอย,50,2,Anti-Aging
ลอเรนซ์ ไนท์ ครีม,เวชสำอางค์,ผิวแพ้ง่าย,51,5,Sensitive Skin
แอดไวท์คอลลาเจนเซรั่ม15มล.,เวชสำอางค์,ผิวแพ้ง่าย,52,5,Sensitive Skin
ลอเรนซ์ ลิฟติ้ง อาย เจล,เวชสำอางค์,สิว,53,3,Acne & Oily
ซีเบล เบลล็องซ์ ใหญ่,เวชสำอางค์,ผิวขาว,54,1,Whitening
อ๊อกซีเคียว สเปรย์+แฮนเจล,เวชสำอางค์,ลดเลือนรอยแผลเป็น,55,0,Not Used
อเมล่า-เอ็กซ์ 12 มล.,เวชสำอางค์,ผิวขาว,56,1,Whitening
ซีเบล เบลล็องซ์,เวชสำอางค์,ผิวขาว,57,1,Whitening
ลอเร้นท์ รีนิววอล ไอ พลัส,เวชสำอางค์,ผิวขาว,58,1,Whitening
เจลว่านหางจระเข้ เบอร์นโนว่า เจล พลัส 25 กรัม,เวชสำอางค์,ผิวแพ้ง่าย,59,5,Sensitive Skin
ยูเซอริน PH5 ชาวเวอร์ออยล์ 200 มล.,เวชสำอางค์,ผิวแพ้ง่าย,60,5,Sensitive Skin
ยูเซอรีน PH5 แชมพู,เวชสำอางค์,กันแดด,61,0,Not Used
ยูเซอริน สปอตเลสไบรท์เทนนิ่ง บอดี้โลชั่นSPF7 250มล,เวชสำอางค์,ผิวขาว,62,1,Whitening
ยูเซอริน PH5 ดราย เซ็นซิทีฟ สกิน โลชั่น 250 มล.,เวชสำอางค์,ผิวแพ้ง่าย,63,5,Sensitive Skin
ไมนัส ซัน SPF 40 ไวท์,เวชสำอางค์,กันแดด,64,0,Not Used
ไมนัส ซัน SPF 40 ไอโวรี่ 25 กรัม,เวชสำอางค์,กันแดด,65,0,Not Used
คลินดา มาย คลีนซิ่ง เจล 25 กรัม,เวชสำอางค์,สิว,66,3,Acne & Oily
ไมนัส คลีนซิ่ง เจล,เวชสำอางค์,รอบดวงตา,67,4,Eye Care
เฮอร์บลัง เมลาเคลียร์,เวชสำอางค์,ผิวขาว,68,1,Whitening
บิเฟสต้าคลีนซิ่งซีบัม,เวชสำอางค์,รอบดวงตา,69,4,Eye Care
ไวทาร่า ไฮยาลูรอน เซรั่ม,เวชสำอางค์,ผิวแพ้ง่าย,70,5,Sensitive Skin
สเปคตร้าแบน เอสพีเอฟ 50+ 20 กรัม,เวชสำอางค์,กันแดด,71,0,Not Used
ลอเรนซ์ แอคนิว ครีม,เวชสำอางค์,ลดเลือนรอยแผลเป็น,72,0,Not Used
อ๊อกซีเคียว โฟม สครับ,เวชสำอางค์,รอบดวงตา,73,4,Eye Care
ซีเบล แอคเน่เลส,เวชสำอางค์,ลดเลือนรอยแผลเป็น,74,0,Not Used
แอคนาแคร์ เจล,เวชสำอางค์,รอบดวงตา,75,4,Eye Care
ยูเซอรีนเดอโมเพียวโทนเนอ,เวชสำอางค์,รอบดวงตา,76,4,Eye Care
สบู่ออยลาตุ้ม,เวชสำอางค์,กันแดด,77,0,Not Used
โลชั่น ทาสิว,เวชสำอางค์,ลดเลือนรอยแผลเป็น,78,0,Not Used
อ๊อกซีเคียว แอคเน่ วอช,เวชสำอางค์,ลดเลือนรอยแผลเป็น,79,0,Not Used
เซตาฟิลเจนเทิลสกินคลีนเซอร์ 125 มล.,เวชสำอางค์,ผิวแพ้ง่าย,80,5,Sensitive Skin
ไวทาร่า เอเอชเอ 9%,เวชสำอางค์,ผิวขาว,81,1,Whitening
ไวทาร่า อะโลเวร่า 99.5% 70 กรัม,เวชสำอางค์,ผิวแพ้ง่าย,82,5,Sensitive Skin
ยูเซอริน PH5 ดราย เซ็นซิทีฟ สกิน โลชั่น 400 มล.,เวชสำอางค์,ผิวแพ้ง่าย,83,5,Sensitive Skin
แอคน่าไบร์ทเจล,เวชสำอางค์,ลดเลือนรอยแผลเป็น,84,0,Not Used
ไวทาร่า-ทีเอ็กซ์,เวชสำอางค์,ผิวขาว,85,1,Whitening
ยูเซอริน PH5 เซ็นซิทีฟ สกิน วอช โลชั่น 200 มล.,เวชสำอางค์,ผิวแพ้ง่าย,86,5,Sensitive Skin
สบู่แอคเน่-เอด 100ก.,เวชสำอางค์,สิว,87,3,Acne & Oily
แอคเน่-เอด ลิควิด เคลนเซอร์ 100 มล.,เวชสำอางค์,สิว,88,3,Acne & Oily
ฟิสิโอเจล คลีนเซอร์,เวชสำอางค์,กันแดด,89,0,Not Used
แอคเน่-เอด เจนเทิล เคลนเซอร์  100 มล.,เวชสำอางค์,สิว,90,3,Acne & Oily
โปรวาเมดสการ์โซนครีม 10ก,เวชสำอางค์,ลดเลือนรอยแผลเป็น,91,0,Not Used
ครีมทาฝ้าอเมล่า-เอ็กซ์,เวชสำอางค์,ผิวขาว,92,1,Whitening
เมดเมเกอร์ วิตามินอี ครีม 20 กรัม,เวชสำอางค์,ลดเลือนริ้วรอย,93,2,Anti-Aging
ลอเรนซ์ เอ็กตร้า เมลาสม่า,เวชสำอางค์,ผิวขาว,94,1,Whitening
อ๊อกซีเคียว แอคเน่ โลชั่น,เวชสำอางค์,ลดเลือนรอยแผลเป็น,95,0,Not Used
ไวทาร่า อะโลเวร่า คูล เจล 120 กรัม,เวชสำอางค์,ผิวแพ้ง่าย,96,5,Sensitive Skin
ยูเซอริน ไวท์ เธอราพี สตาร์ทเตอร์ คิท เซต,เวชสำอางค์,ผิวขาว,97,1,Whitening
โปรวาเมด Acniclear Jel,เวชสำอางค์,รอบดวงตา,98,4,Eye Care
โปรวาเมด Acniclear Toner 120 ML.,เวชสำอางค์,สิว,99,3,Acne & Oily
โปรวาเมด Acniclear Rapid,เวชสำอางค์,ลดเลือนรอยแผลเป็น,100,0,Not Used
ยันฮีครีม ซันบล็อค สีเบจ 30 กรัม,เวชสำอางค์,กันแดด,101,0,Not Used
ไบโอ-ออยล์ 60 ml.,เวชสำอางค์,ลดเลือนรอยแผลเป็น,102,0,Not Used
ซีเบลสการ์ เจล 4 กรัม,เวชสำอางค์,ลดเลือนรอยแผลเป็น,103,0,Not Used
โปรวาเมดกลูต้าคลีนซิ่งเซต,เวชสำอางค์,ผิวขาว,104,1,Whitening
เคลียร์โนสเซต,เวชสำอางค์,สิว,105,3,Acne & Oily
โปรวาเมด ไวท์เทนนิ่ง มูส โฟม 80 มล.,เวชสำอางค์,รอบดวงตา,106,4,Eye Care
ฟาสซิแคร์ อี ครีม 15 กรัม,เวชสำอางค์,ลดเลือนริ้วรอย,107,2,Anti-Aging
สกาเดิร์ม พลัส 5 กรัม,เวชสำอางค์,ลดเลือนรอยแผลเป็น,108,0,Not Used
ยันฮี วิต อี เจล 100 กรัม,เวชสำอางค์,ผิวขาว,109,1,Whitening
ยันฮี ริ้งเคิ้ลครีม 10 กรัม,เวชสำอางค์,ลดเลือนริ้วรอย,110,2,Anti-Aging
ยันฮี วิต ซี เจล 100 กรัม,เวชสำอางค์,ผิวขาว,111,1,Whitening
ยันฮี วิต เอ เจล 100 กรัม,เวชสำอางค์,ผิวขาว,112,1,Whitening
ยันฮี ไวท์เทนนิ่ง 100 กรัม,เวชสำอางค์,ผิวขาว,113,1,Whitening
โปรวาเมด กลูต้า เทรเวล เซ็ต,เวชสำอางค์,ผิวขาว,114,1,Whitening
ยูเซอรีน เดอร์โมเพียว แอคเน่ เซต,เวชสำอางค์,สิว,115,3,Acne & Oily
ยูเซอรีน เดอร์โมเพียว โทนเนอร์,เวชสำอางค์,สิว,116,3,Acne & Oily
ยูเซอรีน เดอร์โมเพียว คลีนเซอร์,เวชสำอางค์,สิว,117,3,Acne & Oily
พรีเมดิกา อินเทนซีฟ เซรั่ม,เวชสำอางค์,ผิวขาว,118,1,Whitening
หิมาลายา แอคเน่ พิมเพิล ครีม,เวชสำอางค์,ลดเลือนรอยแผลเป็น,119,0,Not Used
หิมาลายา เพียวรีไฟอิ้ง นีม เฟซวอช,เวชสำอางค์,รอบดวงตา,120,4,Eye Care
ลิลลี่ชายน์ ไบร์ทเทนนิ่ง ครีม,เวชสำอางค์,ผิวขาว,121,1,Whitening
โปรวาเมด เพอเฟค คลีนซิ่ง วอเตอร์ 50 มล.,เวชสำอางค์,ผิวแพ้ง่าย,122,5,Sensitive Skin
พิชา ไวท์เทนนิ่ง ครีม,เวชสำอางค์,ผิวขาว,123,1,Whitening
ยูเซอรีน แอนตี้เมลาสม่าเซต,เวชสำอางค์,ผิวขาว,124,1,Whitening
โปรวาเมด กลูต้าแถมมูสโฟม เซต,เวชสำอางค์,ผิวขาว,125,1,Whitening
โปรวาเมด เพอร์เฟคสกิน เซต,เวชสำอางค์,ผิวขาว,126,1,Whitening
แผ่นซับสิว3เอ็มเน็คซ์แคร์แบบบางขนาดเดียว30เม็ด,เวชสำอางค์,สิว,127,3,Acne & Oily
แผ่นซับสิว3เอ็มเน็คซ์แคร์แบบบางคละขนาด18เม็ด,เวชสำอางค์,สิว,128,3,Acne & Oily
เบย์บีย์ ลิปแคร์สำหรับเด็ก 10 กรัม,เวชสำอางค์,ผิวแพ้ง่าย,129,5,Sensitive Skin
ครีมทาหน้าหมอจุฬา(เดย์) 5 กรัม,เวชสำอางค์,ผิวขาว,130,1,Whitening
บีแพนเธน ออยเมนท์ 30 กรัม(MD),เวชสำอางค์,ผิวแพ้ง่าย,131,5,Sensitive Skin
ครีมทาหน้าหมอจุฬา(ไนท์) 5 กรัม,เวชสำอางค์,ผิวขาว,132,1,Whitening
เบย์บี้ เนปปี้ ครีม,เวชสำอางค์,ผิวแพ้ง่าย,133,5,Sensitive Skin
แพนแอนตี้คอมีโดนโซพเลส 50g.,เวชสำอางค์,สิว,134,3,Acne & Oily
ดร.สมชาย แอคเน่ครีม 8 กรัม,เวชสำอางค์,สิว,135,3,Acne & Oily
ดร.สมชาย แอคเน่โลชั่น 24 มล.,เวชสำอางค์,สิว,136,3,Acne & Oily
ดร.สมชาย แอคเน่เจล 50 กรัม,เวชสำอางค์,สิว,137,3,Acne & Oily
ดร.สมชาย แอคเน่โฟมมิ่ง เฟเชียล 150 มล.,เวชสำอางค์,สิว,138,3,Acne & Oily
แพน แอคนิแคร์ ครีมNPAC(10) g.,เวชสำอางค์,ลดเลือนรอยแผลเป็น,139,0,Not Used
แพนแอคนิแคร์ โลชั่นNPAL(20) 20 g.,เวชสำอางค์,ลดเลือนรอยแผลเป็น,140,0,Not Used
บิเฟสต้า เคลนซิ่ง 60 มล.,เวชสำอางค์,รอบดวงตา,141,4,Eye Care
คาพีโอกุ แอคเน่ เจล,เวชสำอางค์,สิว,142,3,Acne & Oily
ฮีรูสการ์ โพสต์แอคเน่ 2 กรัม,เวชสำอางค์,สิว,143,3,Acne & Oily
โปรวาเมด กลูต้าไบโอเซรั่ม 3 ML.,เวชสำอางค์,ผิวขาว,144,1,Whitening
สบู่ อ๊อกซีเคียว ซัลเฟอร์โซฟ 30 กรัม,เวชสำอางค์,สิว,145,3,Acne & Oily
สเปรย์ อ๊อกซิเคียว บอดี้แอคเน่ 25 มล.,เวชสำอางค์,สิว,146,3,Acne & Oily
โปรวาเมด พอร์มินิไมซอร์ เจล ครีม 5 กรัม,เวชสำอางค์,สิว,147,3,Acne & Oily
โปรวาเมด วิตามินอีครีมเซรั่ม 25 มล.,เวชสำอางค์,ลดเลือนริ้วรอย,148,2,Anti-Aging
โปรวาเมด เอนตี้เมลาสมาเซรั่ม 5 กรัม,เวชสำอางค์,ผิวขาว,149,1,Whitening
อาร์เจเค มัลติไวท์เทนนิ่ง มินิ เซ็ท,เวชสำอางค์,ผิวขาว,150,1,Whitening
อาร์เจเค สเนลเนเชอรัล มินิ เซ็ท,เวชสำอางค์,สิว,151,3,Acne & Oily
เดอร์มาทิกซ์ อัลตร้า 7 กรัม,เวชสำอางค์,ลดเลือนรอยแผลเป็น,152,0,Not Used
โปรวาเมด เบบินี่ ซูธธิ้งครีม,เวชสำอางค์,ผิวแพ้ง่าย,153,5,Sensitive Skin
โปรวาเมด ไวท์เทรนนิ่ง เซต,เวชสำอางค์,รอบดวงตา,154,4,Eye Care
โปรวาเมด แอคเน่ คลีนซิ่งเจล 40 กรัม,เวชสำอางค์,สิว,155,3,Acne & Oily
โปรวาเมด สปอตเจล แอคเน่ 5 กรัม,เวชสำอางค์,สิว,156,3,Acne & Oily
โปรวาเมด เรตินอล-เอ แอคเน่ 5 กรัม,เวชสำอางค์,สิว,157,3,Acne & Oily
เมอร์วีเล่ คาเวียร์ไวท์ 5 กรัม,เวชสำอางค์,รอบดวงตา,158,4,Eye Care
เมอร์วีเล่ โปรแอคเน่ เจล 6 กรัม,เวชสำอางค์,ลดเลือนรอยแผลเป็น,159,0,Not Used
เมอร์วีเล่ อัลตร้า ดีฟ โฟม 60 กรัม,เวชสำอางค์,รอบดวงตา,160,4,Eye Care
เมอร์วีเล่ เดอร์มอล รีบิวตี้ 10 กรัม,เวชสำอางค์,รอบดวงตา,161,4,Eye Care
เมอร์วีเล่ แอปโซลูท 10 กรัม,เวชสำอางค์,ผิวแพ้ง่าย,162,5,Sensitive Skin
เมอร์วีเล่ อีซี่ไวท์ วิต-ซี 15 กรัม,เวชสำอางค์,ผิวขาว,163,1,Whitening
เซตาฟิล เดย์ลี่ เฟเชียล คลีนเซอร์ 236 มล.,เวชสำอางค์,สิว,164,3,Acne & Oily
ฟินาเล่ เคลียร์ แพทซ์,เวชสำอางค์,สิว,165,3,Acne & Oily
ฟินาเล่ แอคเน่ สการ์ เจล 7 กรัม,เวชสำอางค์,สิว,166,3,Acne & Oily
ซีบาเมด ลิควิด เฟซ บอดี้ วอช,เวชสำอางค์,กันแดด,167,0,Not Used
ซีบาเมด ดีโอโดแรนท์ สเปรย์ 24 Hrs,เวชสำอางค์,กันแดด,168,0,Not Used
ซีบาเมด ชาวเวอร์ ออยล์,เวชสำอางค์,กันแดด,169,0,Not Used
ซีบาเมด เบบี้ บับเบิ้ล บาธ,เวชสำอางค์,กันแดด,170,0,Not Used
ซีบาเมด แอนตี้ ดี แชมพู,เวชสำอางค์,กันแดด,171,0,Not Used
ซีบาเมด เบบี้ ชิวเดรน แชมพู,เวชสำอางค์,กันแดด,172,0,Not Used
ซีบาเมด เบบี้ โลชั่น,เวชสำอางค์,กันแดด,173,0,Not Used
ซีบาเมด เอเวอรี่เดย์ แชมพู,เวชสำอางค์,กันแดด,174,0,Not Used
ซีบาเมด เบบี้ เอ็กตร้า ซอฟท์ วอช,เวชสำอางค์,กันแดด,175,0,Not Used
ซีบาเมด บอดี้ มอยส์ โลชั่น,เวชสำอางค์,กันแดด,176,0,Not Used
ซีบาเมด เบบี้ บอดี้ มิลค์,เวชสำอางค์,กันแดด,177,0,Not Used
อเมลา เอ็กซ์ แอนตี้ เมลาสม่า,เวชสำอางค์,ผิวขาว,178,1,Whitening
ซีบาเมด ลิป ดีเฟนซ์ SPF30,เวชสำอางค์,กันแดด,179,0,Not Used
ฟินาเล่ เคลียร์ แอคเน่ เจล 7 กรัม,เวชสำอางค์,สิว,180,3,Acne & Oily
โปรวาเมด ซันSPF50+สีเนื้อ 2 มล.,เวชสำอางค์,กันแดด,181,0,Not Used
อาร์เจเค อายดาร์กเซรั่ม 5 มล.,เวชสำอางค์,รอบดวงตา,182,4,Eye Care
อาร์เจเค อายแบ็กเซรั่ม 5 มล.,เวชสำอางค์,รอบดวงตา,183,4,Eye Care
ฟิสิโอเจล คลีนเซอร์ 150 มล.,เวชสำอางค์,ผิวแพ้ง่าย,184,5,Sensitive Skin
ฮีรูสการ์ แอนตี้ แอคเน่ แอดวานซ์ สปอตเจล 4 กรัม,เวชสำอางค์,สิว,185,3,Acne & Oily
เซรั่มหน้าใส พริม เพอร์เฟค,เวชสำอางค์,ผิวขาว,186,1,Whitening
เซรั่มหน้าเด็ก พริม เพอร์เฟค,เวชสำอางค์,ลดเลือนริ้วรอย,187,2,Anti-Aging
เซรั่มฟื้นฟูผิว พริม เพอร์เฟค,เวชสำอางค์,ลดเลือนริ้วรอย,188,2,Anti-Aging
โปรวาเมด ซันอะควา เซรั่ม SPF 50 10 มล.,เวชสำอางค์,กันแดด,189,0,Not Used
โปรวาเมด วิตามินอี เซรั่ม 10000 ไอยู 8 มล.,เวชสำอางค์,ลดเลือนริ้วรอย,190,2,Anti-Aging
พีเอชดี แอดวานซ์แอคเน่ พอร์ไทเทนนิ่ง เซ็ท,เวชสำอางค์,ผิวขาว,191,1,Whitening
พีเอชดี ยูวีโพรเทคชัน เอสพีเอฟ 50+พีเอ 7 มล.,เวชสำอางค์,กันแดด,192,0,Not Used
พีเอชดี แอคทีฟไวท์ เซรั่ม 5 มล.,เวชสำอางค์,ผิวขาว,193,1,Whitening
อ๊อกซีเคียว เฟเชียลลิควิคคลีนเซอร์,เวชสำอางค์,สิว,194,3,Acne & Oily
ฮีรูสการ์ แอนตี้ แอคเน่ แอดวานซ์ สปอตเจล 2 กรัม,เวชสำอางค์,สิว,195,3,Acne & Oily
แผ่นซับสิวไมย์แคร์(สำหรับกลางวัน) 3 เม็ด,เวชสำอางค์,สิว,196,3,Acne & Oily
แผ่นซับสิวไมย์แคร์(สำหรับกลางคืน) 3 เม็ด,เวชสำอางค์,สิว,197,3,Acne & Oily
โปรวาเมด รีเพด เคลียร์ เอคเน่ สตาร์เตอ คิดส์,เวชสำอางค์,สิว,198,3,Acne & Oily
โทเมอิ แอนตี้ แอคเน่ครีม 5 กรัม,เวชสำอางค์,สิว,199,3,Acne & Oily
โปร สกิน 6 แคปซูล,เวชสำอางค์,ลดเลือนริ้วรอย,200,2,Anti-Aging
โปรวาเมดเอนตี้เมลาสมา เซ็ท 3 สเต็ป,เวชสำอางค์,ผิวขาว,201,1,Whitening
คูลคิดส์ ซูทธิ้ง เจล 5 กรัม,เวชสำอางค์,ผิวแพ้ง่าย,202,5,Sensitive Skin
โปรวาเมด เซนซิทีฟ มอยเจอร์ ครีม,เวชสำอางค์,ผิวแพ้ง่าย,203,5,Sensitive Skin
โปรวาเมด เซนซิทีฟ คลีนเซอร์,เวชสำอางค์,ผิวแพ้ง่าย,204,5,Sensitive Skin
โปรวาเมด ไวท์เทรนนิ่ง เซต,เวชสำอางค์,ผิวขาว,205,1,Whitening
อ๊อกซิเคียว แอนตี้ เมลาสม่า 4 กรัม,เวชสำอางค์,ผิวขาว,206,1,Whitening
ยังไวท์ อินเท็นซิไฟ รีแพร์ริ่ง เซรั่ม,เวชสำอางค์,ผิวขาว,207,1,Whitening
ฮีรูสการ์ ซิลิโคน โปร 4 กรัม,เวชสำอางค์,ลดเลือนรอยแผลเป็น,208,0,Not Used
ฮีรูสการ์ เจล 3 กรัม,เวชสำอางค์,ลดเลือนรอยแผลเป็น,209,0,Not Used
เซตาฟิลเจนเทิลสกินคลีนเซอร์ 500 มล.,เวชสำอางค์,ผิวแพ้ง่าย,210,5,Sensitive Skin
พีเอชดี แอควานซ์ แอคทีฟไวท์ เซ็ท,เวชสำอางค์,ผิวขาว,211,1,Whitening
พีเอชดี แอคเน่ พอร์ไทเทนนิ่ง ครีม 5 มล.,เวชสำอางค์,สิว,212,3,Acne & Oily
พีเอชดี แอดวานซ์ แอคเน่ คลีนซิ่ง วอเตอร์ 50 มล.,เวชสำอางค์,สิว,213,3,Acne & Oily
พีเอชดี แอนไท เมลาสม่า คอนเซ็นเทรท เดย์ เซรั่ม1มล,เวชสำอางค์,ผิวขาว,214,1,Whitening
โอเซี่ยนสกิน คอลลาเจน สปีดี๊ ครีม 5 กรัม,เวชสำอางค์,ลดเลือนริ้วรอย,215,2,Anti-Aging
โอเชี่ยนสกิน เฟิล์มมิ่ง สลิปปิ้ง มาส์ก 5 มล.,เวชสำอางค์,ลดเลือนริ้วรอย,216,2,Anti-Aging
โอเชี่ยนสกิน ไวท์เทนนิ่ง เซรั่ม 5 มล.,เวชสำอางค์,ผิวขาว,217,1,Whitening
โอเชี่ยนสกิน มิราเคิล วอเตอร์ เอสเซ้นส์ 10 มล.,เวชสำอางค์,ลดเลือนริ้วรอย,218,2,Anti-Aging
ไบโอเดอร์มา เซ็นซิบิโอ เอชทูโอ 100 มล.,เวชสำอางค์,ผิวแพ้ง่าย,219,5,Sensitive Skin
ไบโอเดอร์มา ซีเบี่ยม เอชทูโอ 100 มล.,เวชสำอางค์,สิว,220,3,Acne & Oily
ไบโอเดอร์มา ซีเบี่ยม เอชทูโอ 500 มล.,เวชสำอางค์,สิว,221,3,Acne & Oily
ไบโอเดอร์มา เซ็นซิบิโอ เอชทูโอ 500 มล.,เวชสำอางค์,ผิวแพ้ง่าย,222,5,Sensitive Skin
ไบโอเดอร์มา เซ็นซิบิโอ เอชทูโอ+โทนิค,เวชสำอางค์,ผิวแพ้ง่าย,223,5,Sensitive Skin
นิวทรัลแคร์ เจนเทิล เฟเซียล คลีนเซอร์ 120มล.,เวชสำอางค์,ผิวแพ้ง่าย,224,5,Sensitive Skin
ฟิสิโอเจล โลชั่น 200 มล.,เวชสำอางค์,ผิวแพ้ง่าย,225,5,Sensitive Skin
ฟิสิโอเจล ครีม 75 มล.,เวชสำอางค์,ผิวแพ้ง่าย,226,5,Sensitive Skin
เซตาฟิล มอยซ์เจอร์ไรซิ่งครีม 50 กรัม,เวชสำอางค์,ผิวแพ้ง่าย,227,5,Sensitive Skin
เซตาฟิล UVA-UVB ดีเฟนซ์ SPF50 50มล.,เวชสำอางค์,กันแดด,228,0,Not Used
เซตาฟิลเจนเทิลสกินคลีนเซอร์ 1000 มล.,เวชสำอางค์,ผิวแพ้ง่าย,229,5,Sensitive Skin
